user_id,ndcg@3,hit@3,ndcg@5,hit@5
640.0,0.2960819109658652,1,0.2960819109658652,1
646.0,0.6131471927654584,1,0.6131471927654584,1
648.0,0.6131471927654584,1,0.6131471927654584,1
656.0,0.38685280723454163,1,0.38685280723454163,1
658.0,0.6131471927654584,1,0.6131471927654584,1
671.0,0.6131471927654584,1,0.6131471927654584,1
685.0,0.2960819109658652,1,0.2960819109658652,1
701.0,0.38685280723454163,1,0.38685280723454163,1
706.0,0.23463936301137822,1,0.23463936301137822,1
750.0,0.0,0,0.2640681225725909,1
760.0,0.46927872602275644,1,0.46927872602275644,1
779.0,0.6131471927654584,1,0.6131471927654584,1
781.0,0.38685280723454163,1,0.38685280723454163,1
782.0,0.38685280723454163,1,0.38685280723454163,1
787.0,0.46927872602275644,1,0.46927872602275644,1
797.0,0.46927872602275644,1,0.48522855511632257,1
799.0,0.6131471927654584,1,0.6131471927654584,1
803.0,0.0,0,0.16812753627111746,1
808.0,0.6131471927654584,1,0.6131471927654584,1
809.0,0.38685280723454163,1,0.38685280723454163,1
812.0,0.0,0,0.18154179253735267,1
817.0,0.6131471927654584,1,0.6131471927654584,1
819.0,0.46927872602275644,1,0.3903800499921017,1
824.0,0.46927872602275644,1,0.46927872602275644,1
828.0,0.0,0,0.2640681225725909,1
837.0,0.3065735963827292,1,0.3065735963827292,1
849.0,0.7653606369886217,1,0.5531464700081437,1
860.0,0.0,0,0.2640681225725909,1
863.0,0.0,0,0.2640681225725909,1
899.0,0.38685280723454163,1,0.38685280723454163,1
905.0,0.0,0,0.0,0
913.0,0.38685280723454163,1,0.38685280723454163,1
917.0,0.0,0,0.0,0
918.0,0.2960819109658652,1,0.2960819109658652,1
921.0,0.46927872602275644,1,0.3903800499921017,1
923.0,0.0,0,0.0,0
928.0,0.2960819109658652,1,0.24630238874073,1
931.0,0.6131471927654584,1,0.6131471927654584,1
942.0,0.46927872602275644,1,0.46927872602275644,1
944.0,0.0,0,0.0,0
949.0,0.0,0,0.0,0
951.0,0.46927872602275644,1,0.3903800499921017,1
957.0,0.46927872602275644,1,0.46927872602275644,1
983.0,0.46927872602275644,1,0.46927872602275644,1
1002.0,0.46927872602275644,1,0.46927872602275644,1
1004.0,0.46927872602275644,1,0.46927872602275644,1
1024.0,0.6131471927654584,1,0.6131471927654584,1
1031.0,0.46927872602275644,1,0.46927872602275644,1
1032.0,0.6131471927654584,1,0.6131471927654584,1
1033.0,0.46927872602275644,1,0.3903800499921017,1
1039.0,0.6131471927654584,1,0.6131471927654584,1
1053.0,0.46927872602275644,1,0.46927872602275644,1
1058.0,0.38685280723454163,1,0.38685280723454163,1
1059.0,0.6131471927654584,1,0.6131471927654584,1
1070.0,0.46927872602275644,1,0.3903800499921017,1
1082.0,0.3065735963827292,1,0.3065735963827292,1
1086.0,0.23463936301137822,1,0.23463936301137822,1
1087.0,0.6131471927654584,1,0.6131471927654584,1
1092.0,0.6131471927654584,1,0.6131471927654584,1
1099.0,0.38685280723454163,1,0.38685280723454163,1
1100.0,0.38685280723454163,1,0.38685280723454163,1
1114.0,0.6131471927654584,1,0.6131471927654584,1
1117.0,0.0,0,0.14606834984270645,1
1125.0,0.3065735963827292,1,0.3065735963827292,1
1126.0,0.3065735963827292,1,0.3065735963827292,1
1133.0,0.3065735963827292,1,0.3065735963827292,1
1134.0,0.0,0,0.2640681225725909,1
1135.0,0.6131471927654584,1,0.6131471927654584,1
