month,package_id,addon_id,count
2024-05,2.0,2,8
2024-05,4.0,7,8
2024-05,1.0,8,7
2024-05,2.0,11,7
2024-05,3.0,2,5
2024-05,5.0,6,4
2024-05,5.0,11,4
2024-05,6.0,11,4
2024-05,1.0,11,3
2024-05,2.0,1,3
2024-05,3.0,1,3
2024-05,5.0,1,3
2024-05,5.0,8,3
2024-05,6.0,1,3
2024-05,1.0,7,2
2024-05,2.0,6,2
2024-05,2.0,9,2
2024-05,3.0,6,2
2024-05,3.0,9,2
2024-05,4.0,11,2
2024-05,5.0,2,2
2024-05,1.0,2,1
2024-05,1.0,6,1
2024-05,1.0,9,1
2024-05,1.0,12,1
2024-05,2.0,5,1
2024-05,2.0,10,1
2024-05,2.0,14,1
2024-05,4.0,1,1
2024-05,4.0,2,1
2024-05,4.0,8,1
2024-05,4.0,10,1
2024-05,4.0,12,1
2024-05,5.0,5,1
2024-05,5.0,9,1
2024-05,5.0,12,1
2024-05,6.0,2,1
2024-05,6.0,5,1
2024-05,6.0,9,1
2024-05,6.0,14,1
2024-05,7.0,7,1
2024-05,8.0,2,1
2024-05,8.0,9,1
2024-06,3.0,7,25
2024-06,2.0,8,24
2024-06,2.0,7,17
2024-06,2.0,2,12
2024-06,3.0,8,9
2024-06,2.0,1,7
2024-06,2.0,6,7
2024-06,1.0,7,6
2024-06,4.0,7,6
2024-06,1.0,8,5
2024-06,2.0,9,5
2024-06,3.0,11,5
2024-06,1.0,2,4
2024-06,1.0,6,4
2024-06,5.0,7,4
2024-06,1.0,11,3
2024-06,2.0,11,3
2024-06,2.0,12,3
2024-06,3.0,6,3
2024-06,5.0,11,3
2024-06,1.0,1,2
2024-06,2.0,5,2
2024-06,3.0,12,2
2024-06,4.0,11,2
2024-06,1.0,5,1
2024-06,1.0,9,1
2024-06,2.0,4,1
2024-06,2.0,19,1
2024-06,3.0,1,1
2024-06,3.0,5,1
2024-06,3.0,9,1
2024-06,3.0,10,1
2024-06,4.0,1,1
2024-06,4.0,4,1
2024-06,4.0,6,1
2024-06,4.0,8,1
2024-06,4.0,14,1
2024-06,6.0,1,1
2024-06,6.0,6,1
2024-07,2.0,8,25
2024-07,3.0,7,17
2024-07,1.0,8,7
2024-07,3.0,6,5
2024-07,2.0,7,4
2024-07,3.0,8,4
2024-07,3.0,11,4
2024-07,4.0,7,4
2024-07,5.0,7,4
2024-07,2.0,2,3
2024-07,2.0,6,3
2024-07,2.0,11,2
2024-07,3.0,12,2
2024-07,4.0,6,2
2024-07,5.0,1,2
2024-07,5.0,8,2
2024-07,6.0,1,2
2024-07,1.0,7,1
2024-07,2.0,1,1
2024-07,2.0,5,1
2024-07,2.0,9,1
2024-07,2.0,12,1
2024-07,3.0,2,1
2024-07,3.0,5,1
2024-07,5.0,2,1
2024-07,5.0,5,1
2024-07,5.0,6,1
2024-07,5.0,11,1
2024-07,6.0,5,1
2024-08,2.0,8,23
2024-08,3.0,7,15
2024-08,2.0,2,9
2024-08,2.0,7,7
2024-08,3.0,6,6
2024-08,3.0,8,6
2024-08,4.0,7,4
2024-08,2.0,5,3
2024-08,3.0,1,3
2024-08,3.0,11,3
2024-08,4.0,8,3
2024-08,1.0,8,2
2024-08,2.0,1,2
2024-08,2.0,6,2
2024-08,3.0,2,2
2024-08,3.0,5,2
2024-08,3.0,9,2
2024-08,4.0,11,2
2024-08,5.0,7,2
2024-08,1.0,2,1
2024-08,1.0,7,1
2024-08,1.0,11,1
2024-08,2.0,9,1
2024-08,2.0,10,1
2024-08,2.0,11,1
2024-08,2.0,12,1
2024-08,4.0,1,1
2024-08,4.0,6,1
2024-08,4.0,9,1
2024-08,5.0,2,1
2024-08,5.0,8,1
2024-08,5.0,14,1
2024-08,6.0,10,1
2024-08,6.0,11,1
2024-09,2.0,8,20
2024-09,2.0,7,13
2024-09,3.0,7,13
2024-09,2.0,2,5
2024-09,2.0,11,4
2024-09,3.0,8,4
2024-09,4.0,7,4
2024-09,1.0,8,3
2024-09,3.0,6,3
2024-09,3.0,14,3
2024-09,1.0,2,2
2024-09,1.0,7,2
2024-09,3.0,11,2
2024-09,2.0,1,1
2024-09,2.0,6,1
2024-09,2.0,14,1
2024-09,3.0,1,1
2024-09,3.0,19,1
2024-09,4.0,6,1
2024-09,4.0,14,1
2024-09,6.0,11,1
2024-10,2.0,8,20
2024-10,3.0,7,20
2024-10,2.0,7,11
2024-10,3.0,8,10
2024-10,1.0,8,6
2024-10,2.0,2,6
2024-10,2.0,6,5
2024-10,2.0,1,4
2024-10,4.0,7,4
2024-10,5.0,7,4
2024-10,1.0,11,3
2024-10,2.0,11,3
2024-10,3.0,6,3
2024-10,3.0,2,2
2024-10,3.0,5,2
2024-10,3.0,11,2
2024-10,3.0,14,2
2024-10,4.0,2,2
2024-10,2.0,5,1
2024-10,2.0,12,1
2024-10,2.0,14,1
2024-10,3.0,1,1
2024-10,4.0,6,1
2024-10,4.0,8,1
2024-10,4.0,12,1
2024-10,5.0,2,1
2024-10,5.0,8,1
2024-10,5.0,11,1
2024-10,5.0,14,1
2024-11,2.0,8,18
2024-11,2.0,7,10
2024-11,3.0,7,8
2024-11,3.0,8,8
2024-11,5.0,7,8
2024-11,2.0,2,6
2024-11,1.0,8,5
2024-11,2.0,11,5
2024-11,2.0,6,4
2024-11,4.0,7,4
2024-11,2.0,9,3
2024-11,3.0,6,3
2024-11,5.0,11,3
2024-11,2.0,14,2
2024-11,3.0,11,2
2024-11,5.0,6,2
2024-11,1.0,2,1
2024-11,1.0,5,1
2024-11,1.0,6,1
2024-11,1.0,7,1
2024-11,1.0,9,1
2024-11,2.0,5,1
2024-11,2.0,12,1
2024-11,3.0,1,1
2024-11,4.0,6,1
2024-11,4.0,8,1
2024-11,4.0,11,1
2024-11,6.0,1,1
2024-12,2.0,8,15
2024-12,2.0,7,11
2024-12,2.0,2,6
2024-12,1.0,8,4
2024-12,17.0,2,4
2024-12,2.0,9,3
2024-12,3.0,7,3
2024-12,3.0,8,3
2024-12,17.0,34,3
2024-12,20.0,2,3
2024-12,20.0,34,3
2024-12,2.0,5,2
2024-12,2.0,6,2
2024-12,2.0,11,2
2024-12,2.0,12,2
2024-12,18.0,12,2
2024-12,20.0,11,2
2024-12,1.0,2,1
2024-12,1.0,7,1
2024-12,1.0,11,1
2024-12,2.0,1,1
2024-12,3.0,2,1
2024-12,4.0,7,1
2024-12,5.0,7,1
2024-12,17.0,1,1
2024-12,17.0,5,1
2024-12,17.0,6,1
2024-12,17.0,12,1
2024-12,17.0,35,1
2024-12,17.0,36,1
2024-12,18.0,1,1
2024-12,18.0,36,1
2024-12,19.0,1,1
2024-12,20.0,6,1
2024-12,20.0,10,1
2025-01,2.0,8,21
2025-01,3.0,7,8
2025-01,3.0,8,6
2025-01,2.0,7,5
2025-01,2.0,2,4
2025-01,3.0,11,4
2025-01,2.0,6,3
2025-01,2.0,9,3
2025-01,2.0,1,2
2025-01,2.0,5,2
2025-01,2.0,11,2
2025-01,2.0,12,2
2025-01,3.0,5,2
2025-01,3.0,6,2
2025-01,4.0,7,2
2025-01,17.0,6,2
2025-01,1.0,8,1
2025-01,3.0,1,1
2025-01,3.0,12,1
2025-01,4.0,1,1
2025-01,4.0,6,1
2025-01,4.0,11,1
2025-01,4.0,14,1
2025-01,6.0,2,1
2025-01,6.0,4,1
2025-01,6.0,11,1
2025-01,17.0,1,1
2025-01,17.0,12,1
2025-01,18.0,1,1
2025-01,19.0,36,1
2025-02,2.0,8,12
2025-02,3.0,7,10
2025-02,1.0,8,7
2025-02,2.0,7,7
2025-02,21.0,11,4
2025-02,2.0,12,3
2025-02,3.0,8,3
2025-02,1.0,6,2
2025-02,1.0,7,2
2025-02,3.0,6,2
2025-02,5.0,7,2
2025-02,5.0,11,2
2025-02,21.0,6,2
2025-02,1.0,11,1
2025-02,2.0,1,1
2025-02,2.0,2,1
2025-02,2.0,6,1
2025-02,2.0,9,1
2025-02,2.0,10,1
2025-02,2.0,11,1
2025-02,3.0,2,1
2025-02,3.0,11,1
2025-02,4.0,7,1
2025-02,5.0,1,1
2025-02,5.0,2,1
2025-02,6.0,1,1
2025-02,6.0,6,1
2025-02,21.0,1,1
2025-02,21.0,2,1
2025-02,21.0,10,1
2025-03,3.0,7,13
2025-03,2.0,7,10
2025-03,2.0,8,9
2025-03,3.0,6,6
2025-03,3.0,8,5
2025-03,5.0,7,4
2025-03,2.0,6,3
2025-03,3.0,1,3
2025-03,4.0,7,3
2025-03,1.0,7,2
2025-03,1.0,8,2
2025-03,2.0,2,2
2025-03,3.0,2,2
2025-03,3.0,9,2
2025-03,6.0,2,2
2025-03,1.0,1,1
2025-03,1.0,11,1
2025-03,2.0,11,1
2025-03,2.0,14,1
2025-03,3.0,4,1
2025-03,3.0,12,1
2025-03,3.0,14,1
2025-03,3.0,15,1
2025-03,3.0,16,1
2025-03,4.0,4,1
2025-03,6.0,1,1
2025-03,6.0,17,1
2025-03,6.0,18,1
2025-03,9.0,9,1
2025-04,2.0,8,18
2025-04,2.0,7,10
2025-04,3.0,7,10
2025-04,3.0,8,10
2025-04,2.0,1,6
2025-04,4.0,7,6
2025-04,5.0,8,6
2025-04,2.0,2,5
2025-04,2.0,6,4
2025-04,5.0,7,4
2025-04,1.0,8,3
2025-04,2.0,10,3
2025-04,3.0,1,3
2025-04,2.0,15,2
2025-04,3.0,6,2
2025-04,3.0,15,2
2025-04,4.0,2,2
2025-04,4.0,8,2
2025-04,5.0,15,2
2025-04,2.0,4,1
2025-04,2.0,11,1
2025-04,3.0,5,1
2025-04,3.0,9,1
2025-04,3.0,10,1
2025-04,4.0,9,1
2025-04,4.0,10,1
2025-04,5.0,6,1
2025-04,5.0,10,1
2025-04,6.0,1,1
2025-04,6.0,15,1
2025-05,2.0,8,28
2025-05,2.0,7,17
2025-05,3.0,7,16
2025-05,2.0,2,6
2025-05,2.0,9,5
2025-05,5.0,7,5
2025-05,2.0,11,4
2025-05,1.0,8,3
2025-05,2.0,1,3
2025-05,2.0,6,3
2025-05,3.0,2,3
2025-05,3.0,8,3
2025-05,4.0,7,3
2025-05,5.0,8,3
2025-05,3.0,1,2
2025-05,3.0,6,2
2025-05,6.0,11,2
2025-05,1.0,11,1
2025-05,2.0,4,1
2025-05,2.0,5,1
2025-05,2.0,14,1
2025-05,2.0,15,1
2025-05,3.0,5,1
2025-05,3.0,11,1
2025-05,3.0,15,1
2025-05,4.0,2,1
2025-05,4.0,4,1
2025-05,4.0,8,1
2025-05,4.0,11,1
2025-05,5.0,6,1
2025-05,6.0,1,1
2025-05,6.0,12,1
2025-05,9.0,12,1
2025-06,3.0,7,20
2025-06,2.0,7,12
2025-06,2.0,8,11
2025-06,3.0,8,9
2025-06,2.0,2,8
2025-06,1.0,8,4
2025-06,2.0,6,4
2025-06,3.0,1,4
2025-06,3.0,2,4
2025-06,2.0,9,3
2025-06,3.0,11,3
2025-06,4.0,7,3
2025-06,5.0,7,3
2025-06,1.0,6,2
2025-06,2.0,10,2
2025-06,2.0,11,2
2025-06,3.0,14,2
2025-06,1.0,11,1
2025-06,2.0,1,1
2025-06,3.0,4,1
2025-06,3.0,9,1
2025-06,3.0,12,1
2025-06,4.0,8,1
2025-06,4.0,9,1
2025-06,4.0,11,1
2025-06,5.0,1,1
2025-06,5.0,6,1
2025-07,2.0,8,22
2025-07,3.0,7,13
2025-07,2.0,7,6
2025-07,3.0,8,5
2025-07,3.0,15,5
2025-07,2.0,2,4
2025-07,2.0,6,4
2025-07,3.0,2,4
2025-07,1.0,8,3
2025-07,3.0,1,3
2025-07,3.0,6,3
2025-07,4.0,7,3
2025-07,2.0,9,2
2025-07,2.0,15,2
2025-07,2.0,4,1
2025-07,3.0,4,1
2025-07,3.0,5,1
2025-07,4.0,1,1
2025-07,4.0,2,1
2025-07,4.0,6,1
2025-07,5.0,1,1
2025-07,5.0,7,1
2025-07,5.0,8,1
2025-07,5.0,14,1
2025-07,5.0,15,1
2025-08,2.0,8,31
2025-08,2.0,7,15
2025-08,3.0,7,14
2025-08,2.0,2,7
2025-08,2.0,15,6
2025-08,3.0,8,6
2025-08,5.0,7,6
2025-08,1.0,8,5
2025-08,5.0,15,4
2025-08,2.0,6,3
2025-08,1.0,1,2
2025-08,1.0,7,2
2025-08,2.0,1,2
2025-08,2.0,5,2
2025-08,3.0,1,2
2025-08,3.0,15,2
2025-08,5.0,6,2
