booking_id,user_id,item_id,session_date,rating
1900.0,4,addon::7,2025-10-31 00:00:00+00:00,1
827.0,736,addon::12,2024-10-14 00:00:00+00:00,1
15.0,2047,addon::7,2024-02-29 00:00:00+00:00,1
,903,20,,0
,2307,8,,0
250.0,30,addon::11,2024-05-04 00:00:00+00:00,1
1199.0,1084,addon::11,2025-02-08 00:00:00+00:00,1
1751.0,1157,addon::8,2025-08-27 00:00:00+00:00,1
,1697,19,,0
,2294,17,,0
,125,8,,0
682.0,583,addon::6,2024-08-31 00:00:00+00:00,1
1155.0,1039,addon::8,2025-01-20 00:00:00+00:00,1
,2160,18,,0
10.0,2043,addon::14,2024-02-27 00:00:00+00:00,1
904.0,803,5,2024-11-09 00:00:00+00:00,1
354.0,2266,addon::7,2024-05-27 00:00:00+00:00,1
,562,9,,0
810.0,722,addon::7,2024-10-12 00:00:00+00:00,1
,2367,18,,0
,33,5,,0
868.0,562,addon::8,2024-10-29 00:00:00+00:00,1
990.0,898,addon::5,2024-12-11 00:00:00+00:00,1
1489.0,1135,addon::7,2025-05-22 00:00:00+00:00,1
,377,19,,0
272.0,51,addon::7,2024-05-08 00:00:00+00:00,1
,580,7,,0
1532.0,1438,addon::2,2025-06-05 00:00:00+00:00,1
617.0,511,1,2024-08-09 00:00:00+00:00,1
293.0,101,4,2024-05-15 00:00:00+00:00,1
39.0,2069,2,2024-03-09 00:00:00+00:00,1
1466.0,1363,addon::7,2025-05-14 00:00:00+00:00,1
77.0,2098,1,2024-03-23 00:00:00+00:00,1
1688.0,1595,addon::15,2025-08-04 00:00:00+00:00,1
990.0,898,2,2024-12-11 00:00:00+00:00,1
768.0,676,addon::8,2024-10-02 00:00:00+00:00,1
,2411,21,,0
,1589,19,,0
1342.0,1230,2,2025-04-08 00:00:00+00:00,1
652.0,549,addon::7,2024-08-19 00:00:00+00:00,1
,1275,21,,0
,1646,4,,0
,1330,3,,0
,548,7,,0
756.0,2315,addon::8,2024-09-27 00:00:00+00:00,1
,605,4,,0
,2058,17,,0
,1529,21,,0
,846,5,,0
,2239,6,,0
546.0,435,addon::8,2024-07-10 00:00:00+00:00,1
,2346,18,,0
,26,19,,0
,650,18,,0
1755.0,1650,addon::7,2025-08-30 00:00:00+00:00,1
183.0,2169,6,2024-04-21 00:00:00+00:00,1
,1220,4,,0
,509,8,,0
,734,3,,0
1874.0,322,3,2025-10-19 00:00:00+00:00,1
,1432,20,,0
,2310,9,,0
919.0,824,addon::11,2024-11-14 00:00:00+00:00,1
,340,5,,0
338.0,195,addon::2,2024-05-25 00:00:00+00:00,1
,173,8,,0
,2416,19,,0
1752.0,1373,addon::8,2025-08-27 00:00:00+00:00,1
1253.0,1126,1,2025-02-28 00:00:00+00:00,1
,738,21,,0
,667,17,,0
146.0,2143,addon::7,2024-04-12 00:00:00+00:00,1
,1682,18,,0
,1660,20,,0
,517,7,,0
1840.0,2223,addon::15,2025-10-03 00:00:00+00:00,1
,1325,18,,0
1045.0,942,addon::7,2024-12-24 00:00:00+00:00,1
1166.0,1052,1,2025-01-24 00:00:00+00:00,1
,1706,2,,0
913.0,819,addon::8,2024-11-11 00:00:00+00:00,1
1344.0,1234,4,2025-04-09 00:00:00+00:00,1
1602.0,2415,5,2025-06-29 00:00:00+00:00,1
,2422,19,,0
1837.0,918,addon::7,2025-10-02 00:00:00+00:00,1
480.0,359,addon::12,2024-06-22 00:00:00+00:00,1
1538.0,1448,3,2025-06-07 00:00:00+00:00,1
1142.0,1024,2,2025-01-12 00:00:00+00:00,1
,1343,18,,0
,517,7,,0
173.0,2161,addon::7,2024-04-18 00:00:00+00:00,1
,2289,2,,0
478.0,363,3,2024-06-22 00:00:00+00:00,1
1521.0,1425,1,2025-05-31 00:00:00+00:00,1
978.0,887,addon::7,2024-12-08 00:00:00+00:00,1
1767.0,1658,addon::7,2025-09-04 00:00:00+00:00,1
,1745,9,,0
,1781,17,,0
,2225,7,,0
825.0,727,addon::11,2024-10-13 00:00:00+00:00,1
373.0,239,addon::11,2024-05-30 00:00:00+00:00,1
1865.0,808,4,2025-10-13 00:00:00+00:00,1
1579.0,983,addon::2,2025-06-22 00:00:00+00:00,1
1152.0,1034,addon::7,2025-01-18 00:00:00+00:00,1
672.0,570,addon::7,2024-08-27 00:00:00+00:00,1
,431,7,,0
1792.0,1333,2,2025-09-13 00:00:00+00:00,1
1275.0,2378,addon::7,2025-03-11 00:00:00+00:00,1
546.0,435,3,2024-07-10 00:00:00+00:00,1
,1086,8,,0
,759,5,,0
308.0,124,2,2024-05-18 00:00:00+00:00,1
,1706,1,,0
1495.0,1385,addon::11,2025-05-23 00:00:00+00:00,1
,195,2,,0
,1367,9,,0
1206.0,8,addon::11,2025-02-09 00:00:00+00:00,1
1742.0,1638,2,2025-08-23 00:00:00+00:00,1
1659.0,1569,addon::2,2025-07-26 00:00:00+00:00,1
1098.0,2359,addon::36,2024-12-31 00:00:00+00:00,1
1493.0,1388,addon::8,2025-05-23 00:00:00+00:00,1
1327.0,1203,5,2025-04-04 00:00:00+00:00,1
1020.0,925,17,2024-12-20 00:00:00+00:00,1
601.0,498,addon::7,2024-08-03 00:00:00+00:00,1
1136.0,1020,addon::5,2025-01-10 00:00:00+00:00,1
1166.0,1052,addon::8,2025-01-24 00:00:00+00:00,1
469.0,352,addon::6,2024-06-20 00:00:00+00:00,1
,1580,1,,0
,1416,17,,0
637.0,534,addon::11,2024-08-16 00:00:00+00:00,1
,421,4,,0
580.0,473,addon::5,2024-07-21 00:00:00+00:00,1
1289.0,1154,addon::9,2025-03-17 00:00:00+00:00,1
,715,18,,0
570.0,462,addon::12,2024-07-18 00:00:00+00:00,1
,737,18,,0
,2292,18,,0
,1232,4,,0
1194.0,797,addon::11,2025-02-05 00:00:00+00:00,1
367.0,231,addon::1,2024-05-29 00:00:00+00:00,1
,1326,8,,0
996.0,905,20,2024-12-14 00:00:00+00:00,1
,1760,7,,0
1020.0,925,addon::1,2024-12-20 00:00:00+00:00,1
1861.0,1737,addon::7,2025-10-12 00:00:00+00:00,1
247.0,28,5,2024-05-03 00:00:00+00:00,1
1429.0,386,5,2025-05-03 00:00:00+00:00,1
1708.0,1613,addon::7,2025-08-11 00:00:00+00:00,1
,1101,4,,0
,2184,17,,0
,2418,19,,0
,1100,20,,0
439.0,318,addon::2,2024-06-14 00:00:00+00:00,1
,2177,19,,0
553.0,441,addon::7,2024-07-13 00:00:00+00:00,1
,1766,8,,0
,1373,6,,0
1731.0,1630,2,2025-08-17 00:00:00+00:00,1
,692,1,,0
1438.0,1341,addon::8,2025-05-06 00:00:00+00:00,1
,876,6,,0
1380.0,1276,2,2025-04-15 00:00:00+00:00,1
1318.0,1186,addon::7,2025-03-30 00:00:00+00:00,1
1231.0,1104,addon::6,2025-02-16 00:00:00+00:00,1
,2257,3,,0
1686.0,1591,addon::7,2025-08-03 00:00:00+00:00,1
90.0,1188,3,2024-03-26 00:00:00+00:00,1
521.0,406,addon::2,2024-07-03 00:00:00+00:00,1
101.0,2112,addon::7,2024-03-30 00:00:00+00:00,1
30.0,2060,addon::7,2024-03-04 00:00:00+00:00,1
,91,4,,0
,2383,8,,0
,281,9,,0
1389.0,1282,addon::7,2025-04-16 00:00:00+00:00,1
812.0,718,addon::8,2024-10-12 00:00:00+00:00,1
,1780,21,,0
42.0,2071,addon::7,2024-03-10 00:00:00+00:00,1
,748,20,,0
,1417,17,,0
,2208,7,,0
,258,7,,0
1825.0,2435,addon::8,2025-09-28 00:00:00+00:00,1
,101,8,,0
1898.0,1730,addon::1,2025-10-30 00:00:00+00:00,1
,1642,5,,0
1434.0,1334,5,2025-05-04 00:00:00+00:00,1
,1318,8,,0
,440,7,,0
1510.0,1404,2,2025-05-29 00:00:00+00:00,1
274.0,53,addon::8,2024-05-08 00:00:00+00:00,1
152.0,1253,4,2024-04-14 00:00:00+00:00,1
,1285,18,,0
588.0,484,2,2024-07-27 00:00:00+00:00,1
,802,19,,0
1040.0,939,1,2024-12-23 00:00:00+00:00,1
1873.0,1744,addon::7,2025-10-18 00:00:00+00:00,1
404.0,274,addon::8,2024-06-07 00:00:00+00:00,1
,2268,6,,0
,2069,1,,0
,234,9,,0
1405.0,1314,3,2025-04-26 00:00:00+00:00,1
,1484,1,,0
20.0,2051,1,2024-02-29 00:00:00+00:00,1
,2082,3,,0
,1074,3,,0
1235.0,1112,1,2025-02-22 00:00:00+00:00,1
473.0,351,1,2024-06-20 00:00:00+00:00,1
233.0,2254,2,2024-05-02 00:00:00+00:00,1
181.0,2167,2,2024-04-21 00:00:00+00:00,1
467.0,345,addon::7,2024-06-19 00:00:00+00:00,1
,784,9,,0
1705.0,1609,addon::8,2025-08-10 00:00:00+00:00,1
,1154,5,,0
,2043,6,,0
,1750,8,,0
,524,3,,0
,1051,21,,0
,561,21,,0
,605,5,,0
,1329,19,,0
651.0,542,addon::10,2024-08-18 00:00:00+00:00,1
,21,18,,0
7.0,2040,3,2024-02-26 00:00:00+00:00,1
59.0,1243,3,2024-03-19 00:00:00+00:00,1
,942,8,,0
802.0,706,addon::8,2024-10-10 00:00:00+00:00,1
,1063,4,,0
